scene_name,scenario_config,scene_output_dir,benchmark_out_dir,status,failed_step,benchmark_mode,baseline,scale,n_block,intensity_index,k_events,n_trials,n_success,success_rate,mean_replan_ms,mean_event_replan_ms,mean_path_cost,mean_energy_kj,mean_length_km,mean_comm_coverage_ratio,graph_nodes,graph_edges,elapsed_s,error,step_logs_json,ci95_comm_coverage,ci95_comm_coverage_ratio,ci95_cost,ci95_path_cost,ci95_replan_ms,ci95_risk_exposure,ci95_risk_exposure_integral,mean_comm_coverage,mean_cost,mean_risk_exposure,mean_risk_exposure_integral,n_failed,std_comm_coverage,std_comm_coverage_ratio,std_cost,std_path_cost,std_replan_ms,std_risk_exposure,std_risk_exposure_integral
emeishan,scenarios/emeishan.json,intermediate_artifacts/data/emeishan,final_results/emeishan/E1_E2_single_final,ok,,single,B4_Proposed_LPA_Layered,,,,,30,30,1,111.035253333,,25.4411541946,462.86915992111193,11.548982778468316,0.868276174311,,,239.628,,,0.0293864114939,0.0293864114939,0.576677710004,0.576677710004,12.9900389762,0.077998633601,0.077998633601,0.868276174311,25.4411541946,3.14451862471,3.14451862471,0,0.0821204105067,0.0821204105067,1.61152750092,1.61152750092,36.3007008681,0.217967403458,0.217967403458
emeishan,scenarios/emeishan.json,intermediate_artifacts/data/emeishan,final_results/emeishan/E1_E2_single_final,ok,,single,B2_GlobalAstar_Layered,,,,,30,30,1,58.0761333333,,25.4411541946,462.86915992111193,11.548982778468316,0.868276174311,,,239.628,,,0.0293864114939,0.0293864114939,0.576677710004,0.576677710004,1.07466407784,0.077998633601,0.077998633601,0.868276174311,25.4411541946,3.14451862471,3.14451862471,0,0.0821204105067,0.0821204105067,1.61152750092,1.61152750092,3.00315182231,0.217967403458,0.217967403458
emeishan,scenarios/emeishan.json,intermediate_artifacts/data/emeishan,final_results/emeishan/E1_E2_single_final,ok,,single,B3_LPA_SingleLayer,,,,,30,30,1,128.642586667,,24.678304942,420.37803687548626,10.86380510626459,0.755449463217,,,239.628,,,0.0382739775273,0.0382739775273,0.765666646619,0.765666646619,17.9011099795,0.124973460532,0.124973460532,0.755449463217,24.678304942,3.88835107366,3.88835107366,0,0.106956739067,0.106956739067,2.13965762185,2.13965762185,50.0247027558,0.349238690932,0.349238690932
emeishan,scenarios/emeishan.json,intermediate_artifacts/data/emeishan,final_results/emeishan/E1_E2_single_final,ok,,single,B5_RegularLayered_LPA,,,,,30,30,1,8.80738333333,,34.6193147007,586.2168685757159,15.076722836263182,0.796401868659,,,239.628,,,0.0261292404629,0.0261292404629,1.50100111315,1.50100111315,2.92018587285,0.18743491734,0.18743491734,0.796401868659,34.6193147007,4.25712722189,4.25712722189,0,0.0730182367959,0.0730182367959,4.19455188017,4.19455188017,8.16046772789,0.523787409649,0.523787409649
emeishan,scenarios/emeishan.json,intermediate_artifacts/data/emeishan,final_results/emeishan/E1_E2_single_final,ok,,single,B1_Voxel_Dijkstra,,,,,30,30,1,705.730886667,,96.7666666648,516.6855944985674,11.604430834957014,0.800558366259,,,239.628,,,0.050820791673,0.050820791673,4.89452997361,4.89452997361,29.739611577,0.14558754814,0.14558754814,0.800558366259,96.7666666648,3.22700360797,3.22700360797,0,0.142018846886,0.142018846886,13.6777779333,13.6777779333,83.1074291437,0.406844817387,0.406844817387
huangshan,scenarios/huangshan.json,intermediate_artifacts/data/huangshan,final_results/huangshan/E1_E2_single_final,ok,,single,B4_Proposed_LPA_Layered,,,,,30,30,1,104.531823333,,20.0619733729,308.5790567155597,7.767904924702875,0.334844916033,,,184.848,,,0.0337472110816,0.0337472110816,0.562982982019,0.562982982019,12.9199583409,0.0797458272626,0.0797458272626,0.334844916033,20.0619733729,2.73203804684,2.73203804684,0,0.0943066773585,0.0943066773585,1.57325754461,1.57325754461,36.1048603335,0.222849941115,0.222849941115
huangshan,scenarios/huangshan.json,intermediate_artifacts/data/huangshan,final_results/huangshan/E1_E2_single_final,ok,,single,B2_GlobalAstar_Layered,,,,,30,30,1,44.47709,,20.0619733729,308.5790567155597,7.767904924702875,0.334844916033,,,184.848,,,0.0337472110816,0.0337472110816,0.562982982019,0.562982982019,1.64107214629,0.0797458272626,0.0797458272626,0.334844916033,20.0619733729,2.73203804684,2.73203804684,0,0.0943066773585,0.0943066773585,1.57325754461,1.57325754461,4.5859807807,0.222849941115,0.222849941115
huangshan,scenarios/huangshan.json,intermediate_artifacts/data/huangshan,final_results/huangshan/E1_E2_single_final,ok,,single,B3_LPA_SingleLayer,,,,,30,30,1,167.842996667,,19.6092249769,283.2582279575479,7.443315838726436,0.313877729963,,,184.848,,,0.0352625281839,0.0352625281839,0.552730425098,0.552730425098,21.4129765573,0.0805038894149,0.0805038894149,0.313877729963,19.6092249769,3.13337520843,3.13337520843,0,0.0985412353111,0.0985412353111,1.54460674513,1.54460674513,59.8386238966,0.224968347956,0.224968347956
huangshan,scenarios/huangshan.json,intermediate_artifacts/data/huangshan,final_results/huangshan/E1_E2_single_final,ok,,single,B5_RegularLayered_LPA,,,,,30,30,1,27.0379333333,,21.709953961,329.12402175848086,8.416789069990754,0.587751740002,,,184.848,,,0.0694663344057,0.0694663344057,0.637780303508,0.637780303508,5.6526210731,0.11631284738,0.11631284738,0.587751740002,21.709953961,2.6852462186,2.6852462186,0,0.194123869088,0.194123869088,1.78227887226,1.78227887226,15.7962656672,0.325036582844,0.325036582844
huangshan,scenarios/huangshan.json,intermediate_artifacts/data/huangshan,final_results/huangshan/E1_E2_single_final,ok,,single,B1_Voxel_Dijkstra,,,,,30,30,1,419.525583333,,69.3999999986,360.368404940718,8.341550148221538,0.26052835702,,,184.848,,,0.0543518957558,0.0543518957558,2.44623480796,2.44623480796,24.837937011,0.212095107408,0.212095107408,0.26052835702,69.3999999986,3.39701813142,3.39701813142,0,0.151886527289,0.151886527289,6.83601012894,6.83601012894,69.4096856266,0.592700380937,0.592700380937
